search_term,wikipage,type
D00EC2C974F1B880,Cerulean Warbler,spp
CCP,Chatham Conservation Partnership,org
Chatham Conservation Partnership,Chatham Conservation Partnership,org
Calcarius ornatus,Chestnut-collared Longspur,spp
Calcarius ornatus,Chestnut-collared Longspur,spp
Chestnut-collared Longspur,Chestnut-collared Longspur,spp
B64C1B1DE240735A,Chestnut-collared Longspur,spp
ELEMENT_GLOBAL.2.104815,Chestnut-sided Warbler,spp
Setophaga pensylvanica,Chestnut-sided Warbler,spp
Setophaga pensylvanica,Chestnut-sided Warbler,spp
Chestnut-sided Warbler,Chestnut-sided Warbler,spp
7AB1229BD3F33F46,Chestnut-sided Warbler,spp
ELEMENT_GLOBAL.2.106082,Chimney Swift,spp
Chaetura pelagica,Chimney Swift,spp
Chaetura pelagica,Chimney Swift,spp
Chimney Swift,Chimney Swift,spp
C3AD1AFF63D26461,Chimney Swift,spp
ELEMENT_GLOBAL.2.102758,Chipping Sparrow,spp
Spizella passerina,Chipping Sparrow,spp
Spizella passerina,Chipping Sparrow,spp
Chipping Sparrow,Chipping Sparrow,spp
37E9CCDA7A4B06ED,Chipping Sparrow,spp
ELEMENT_GLOBAL.2.102662,Chuck-will's-widow,spp
Antrostomus carolinensis,Chuck-will's-widow,spp
Antrostomus carolinensis,Chuck-will's-widow,spp
Chuck-will's-widow,Chuck-will's-widow,spp
8D3E887123F5C670,Chuck-will's-widow,spp
Spatula cyanoptera,Cinnamon Teal,spp
Spatula cyanoptera,Cinnamon Teal,spp
Cinnamon Teal,Cinnamon Teal,spp
0E599E6CC209AFAD,Cinnamon Teal,spp
ELEMENT_GLOBAL.2.960538,Clapper Rail,spp
Rallus crepitans,Clapper Rail,spp
Rallus crepitans,Clapper Rail,spp
Clapper Rail,Clapper Rail,spp
E893F98D6F17B578,Clapper Rail,spp
ELEMENT_GLOBAL.2.100970,Clay-colored Sparrow,spp
Spizella pallida,Clay-colored Sparrow,spp
Spizella pallida,Clay-colored Sparrow,spp
Clay-colored Sparrow,Clay-colored Sparrow,spp
486265CF44FC17F2,Clay-colored Sparrow,spp
ELEMENT_GLOBAL.2.101677,Cliff Swallow,spp
Petrochelidon pyrrhonota,Cliff Swallow,spp
Petrochelidon pyrrhonota,Cliff Swallow,spp
Cliff Swallow,Cliff Swallow,spp
F5C181CA4478FD86,Cliff Swallow,spp
College of William and Mary,College of William and Mary,org
W&M,College of William and Mary,org
ELEMENT_GLOBAL.2.100602,Common Eider,spp
Somateria mollissima,Common Eider,spp
Somateria mollissima,Common Eider,spp
Common Eider,Common Eider,spp
B77377EEB852D0AF,Common Eider,spp
ELEMENT_GLOBAL.2.872346,Common Gallinule,spp
Gallinula galeata,Common Gallinule,spp
Gallinula galeata,Common Gallinule,spp
Common Gallinule,Common Gallinule,spp
3EF081A8ED429A45,Common Gallinule,spp
ELEMENT_GLOBAL.2.101051,Common Goldeneye,spp
Bucephala clangula,Common Goldeneye,spp
Bucephala clangula,Common Goldeneye,spp
Common Goldeneye,Common Goldeneye,spp
68EA281AF74846D2,Common Goldeneye,spp
ELEMENT_GLOBAL.2.105697,Common Grackle,spp
Quiscalus quiscula,Common Grackle,spp
Quiscalus quiscula,Common Grackle,spp
Common Grackle,Common Grackle,spp
8BBB3255C6B7EE91,Common Grackle,spp
ELEMENT_GLOBAL.2.102817,Common Ground Dove,spp
Columbina passerina,Common Ground Dove,spp
Columbina passerina,Common Ground Dove,spp
Common Ground Dove,Common Ground Dove,spp
F9AED5486FD85258,Common Ground Dove,spp
ELEMENT_GLOBAL.2.100554,Common Loon,spp
Gavia immer,Common Loon,spp
Gavia immer,Common Loon,spp
Common Loon,Common Loon,spp
7E02237895784E9A,Common Loon,spp
ELEMENT_GLOBAL.2.105663,Common Merganser,spp
Mergus merganser,Common Merganser,spp
Mergus merganser,Common Merganser,spp
Common Merganser,Common Merganser,spp
407E2CA886367DBB,Common Merganser,spp
Uria aalge,Common Murre,spp
Uria aalge,Common Murre,spp
Common Murre,Common Murre,spp
39F29B55EF9A542F,Common Murre,spp
ELEMENT_GLOBAL.2.102646,Common Nighthawk,spp
Chordeiles minor,Common Nighthawk,spp
Chordeiles minor,Common Nighthawk,spp
Common Nighthawk,Common Nighthawk,spp
24E39ACD5692DA4A,Common Nighthawk,spp
ELEMENT_GLOBAL.2.103734,Common Raven,spp
Corvus corax,Common Raven,spp
Corvus corax,Common Raven,spp
Common Raven,Common Raven,spp
B9B272F40EE1570F,Common Raven,spp
ELEMENT_GLOBAL.2.102366,Common Redpoll,spp
Acanthis flammea,Common Redpoll,spp
Acanthis flammea,Common Redpoll,spp
Common Redpoll,Common Redpoll,spp
A2BB98A9A61F777B,Common Redpoll,spp
Charadrius hiaticula,Common Ringed Plover,spp
Common Ringed Plover,Common Ringed Plover,spp
EDA37B7C5D4A25ED,Common Ringed Plover,spp
Apus apus,Common Swift,spp
Common Swift,Common Swift,spp
4E6EF3F983079D73,Common Swift,spp
ELEMENT_GLOBAL.2.101840,Common Tern,spp
Sterna hirundo,Common Tern,spp
Sterna hirundo,Common Tern,spp
Common Tern,Common Tern,spp
4D2FF6F13790ED7E,Common Tern,spp
ELEMENT_GLOBAL.2.101873,Common Yellowthroat,spp
Geothlypis trichas,Common Yellowthroat,spp
Geothlypis trichas,Common Yellowthroat,spp
Common Yellowthroat,Common Yellowthroat,spp
BA4C8A02839564AC,Common Yellowthroat,spp
ELEMENT_GLOBAL.2.101957,Connecticut Warbler,spp
Oporornis agilis,Connecticut Warbler,spp
Oporornis agilis,Connecticut Warbler,spp
Connecticut Warbler,Connecticut Warbler,spp
0B23929DF27B0963,Connecticut Warbler,spp
ELEMENT_GLOBAL.2.100417,Cooper's Hawk,spp
Accipiter cooperii,Cooper's Hawk,spp
Accipiter cooperii,Cooper's Hawk,spp
Cooper's Hawk,Cooper's Hawk,spp
EB98812F50A648A1,Cooper's Hawk,spp
CLO,Cornell Lab of Ornithology,org
Cornell Lab of Ornithology,Cornell Lab of Ornithology,org
ELEMENT_GLOBAL.2.795098,Cory's Shearwater,spp
Calonectris diomedea,Cory's Shearwater,spp
Calonectris diomedea,Cory's Shearwater,spp
Cory's Shearwater,Cory's Shearwater,spp
FF3D837AAC50A0C9,Cory's Shearwater,spp
Caracara cheriway,Crested Caracara,spp
Caracara cheriway,Crested Caracara,spp
Crested Caracara,Crested Caracara,spp
ABF6C3C492AE0D2B,Crested Caracara,spp
Calidris ferruginea,Curlew Sandpiper,spp
Curlew Sandpiper,Curlew Sandpiper,spp
143A681C9BCE9A20,Curlew Sandpiper,spp
ELEMENT_GLOBAL.2.101635,Dark-eyed Junco,spp
Junco hyemalis,Dark-eyed Junco,spp
Junco hyemalis,Dark-eyed Junco,spp
Dark-eyed Junco,Dark-eyed Junco,spp
05FF3C9B3C854D53,Dark-eyed Junco,spp
Defenders of Wildlife,Defenders of Wildlife,org
DOF,Defenders of Wildlife,org
ELEMENT_GLOBAL.2.106001,Dickcissel,spp
Spiza americana,Dickcissel,spp
Spiza americana,Dickcissel,spp
Dickcissel,Dickcissel,spp
592E58CE67D092DA,Dickcissel,spp
ELEMENT_GLOBAL.2.101743,Double-crested Cormorant,spp
Phalacrocorax auritus,Double-crested Cormorant,spp
Phalacrocorax auritus,Double-crested Cormorant,spp
Double-crested Cormorant,Double-crested Cormorant,spp
3AC46C54EE4A6251,Double-crested Cormorant,spp
ELEMENT_GLOBAL.2.103393,Dovekie,spp
Alle alle,Dovekie,spp
Alle alle,Dovekie,spp
Dovekie,Dovekie,spp
B0932D89F1F74318,Dovekie,spp
ELEMENT_GLOBAL.2.105113,Downy Woodpecker,spp
Dryobates pubescens,Downy Woodpecker,spp
Dryobates pubescens,Downy Woodpecker,spp
Downy Woodpecker,Downy Woodpecker,spp
1B2A6386D509137D,Downy Woodpecker,spp
DU,Ducks Unlimited,org
Ducks Unlimited,Ducks Unlimited,org
ELEMENT_GLOBAL.2.101733,Dunlin,spp
Calidris alpina,Dunlin,spp
Calidris alpina,Dunlin,spp
Dunlin,Dunlin,spp
15369E8EB4CBD064,Dunlin,spp
ELEMENT_GLOBAL.2.100013,Eared Grebe,spp
Podiceps nigricollis,Eared Grebe,spp
Podiceps nigricollis,Eared Grebe,spp
Eared Grebe,Eared Grebe,spp
32DCEC14D7AE129B,Eared Grebe,spp
ELEMENT_GLOBAL.2.101930,Eastern Bluebird,spp
Sialia sialis,Eastern Bluebird,spp
Sialia sialis,Eastern Bluebird,spp
Eastern Bluebird,Eastern Bluebird,spp
A8347C7DF99F44B5,Eastern Bluebird,spp
ELEMENT_GLOBAL.2.102908,Eastern Kingbird,spp
Tyrannus tyrannus,Eastern Kingbird,spp
Tyrannus tyrannus,Eastern Kingbird,spp
Eastern Kingbird,Eastern Kingbird,spp
082D833CF61D6360,Eastern Kingbird,spp
ELEMENT_GLOBAL.2.104171,Eastern Meadowlark,spp
Sturnella magna,Eastern Meadowlark,spp
Sturnella magna,Eastern Meadowlark,spp
Eastern Meadowlark,Eastern Meadowlark,spp
27410227323B07A1,Eastern Meadowlark,spp
ELEMENT_GLOBAL.2.102820,Eastern Phoebe,spp
Sayornis phoebe,Eastern Phoebe,spp
Sayornis phoebe,Eastern Phoebe,spp
Eastern Phoebe,Eastern Phoebe,spp
62CA2AF81AF5B68D,Eastern Phoebe,spp
ELEMENT_GLOBAL.2.102821,Eastern Screech-Owl,spp
Megascops asio,Eastern Screech-Owl,spp
Megascops asio,Eastern Screech-Owl,spp
Eastern Screech-Owl,Eastern Screech-Owl,spp
A69062C895C0CCDA,Eastern Screech-Owl,spp
ELEMENT_GLOBAL.2.105602,Eastern Towhee,spp
Pipilo erythrophthalmus,Eastern Towhee,spp
Pipilo erythrophthalmus,Eastern Towhee,spp
Eastern Towhee,Eastern Towhee,spp
6090278A61F63C13,Eastern Towhee,spp
ELEMENT_GLOBAL.2.871696,Eastern Whip-poor-will,spp
Antrostomus vociferus,Eastern Whip-poor-will,spp
Antrostomus vociferus,Eastern Whip-poor-will,spp
Eastern Whip-poor-will,Eastern Whip-poor-will,spp
1A09655B1DFED41F,Eastern Whip-poor-will,spp
ELEMENT_GLOBAL.2.103459,Eastern Wood-Pewee,spp
Contopus virens,Eastern Wood-Pewee,spp
Contopus virens,Eastern Wood-Pewee,spp
Eastern Wood-Pewee,Eastern Wood-Pewee,spp
9891BF73279CAB69,Eastern Wood-Pewee,spp
Environment Canada,Environment Canada,org
ELEMENT_GLOBAL.2.101660,Eurasian Collared-Dove,spp
Streptopelia decaocto,Eurasian Collared-Dove,spp
Streptopelia decaocto,Eurasian Collared-Dove,spp
Eurasian Collared-Dove,Eurasian Collared-Dove,spp
41FACE6330A2F073,Eurasian Collared-Dove,spp
ELEMENT_GLOBAL.2.100158,Eurasian Wigeon,spp
Mareca penelope,Eurasian Wigeon,spp
Mareca penelope,Eurasian Wigeon,spp
Eurasian Wigeon,Eurasian Wigeon,spp
15EE0D3685082E13,Eurasian Wigeon,spp
ELEMENT_GLOBAL.2.103906,European Starling,spp
Sturnus vulgaris,European Starling,spp
Sturnus vulgaris,European Starling,spp
European Starling,European Starling,spp
94A4403295E2D9BE,European Starling,spp
Hydrobates pelagicus,European Storm-Petrel,spp
European Storm-Petrel,European Storm-Petrel,spp
E1638A370D09095C,European Storm-Petrel,spp
ELEMENT_GLOBAL.2.102678,Evening Grosbeak,spp
Coccothraustes vespertinus,Evening Grosbeak,spp
Coccothraustes vespertinus,Evening Grosbeak,spp
Evening Grosbeak,Evening Grosbeak,spp
C6B5497C9DB6796A,Evening Grosbeak,spp
ELEMENT_GLOBAL.2.102745,Fea's Petrel,spp
Pterodroma feae,Fea's Petrel,spp
Pterodroma feae,Fea's Petrel,spp
Fea's Petrel,Fea's Petrel,spp
CFE78BAC9F38FCCD,Fea's Petrel,spp
ELEMENT_GLOBAL.2.102535,Field Sparrow,spp
Spizella pusilla,Field Sparrow,spp
Spizella pusilla,Field Sparrow,spp
Field Sparrow,Field Sparrow,spp
E23F6DE0B4829658,Field Sparrow,spp
ELEMENT_GLOBAL.2.101678,Fish Crow,spp
Corvus ossifragus,Fish Crow,spp
Corvus ossifragus,Fish Crow,spp
Fish Crow,Fish Crow,spp
43E56D2CAA66A6CA,Fish Crow,spp
Tyrannus savana,Fork-tailed Flycatcher,spp
Fork-tailed Flycatcher,Fork-tailed Flycatcher,spp
A2510EF44C67DD52,Fork-tailed Flycatcher,spp
ELEMENT_GLOBAL.2.101506,Forster's Tern,spp
Sterna forsteri,Forster's Tern,spp
Sterna forsteri,Forster's Tern,spp
Forster's Tern,Forster's Tern,spp
D13B91229B2F157E,Forster's Tern,spp
ELEMENT_GLOBAL.2.102367,Fox Sparrow,spp
Passerella iliaca,Fox Sparrow,spp
Passerella iliaca,Fox Sparrow,spp
Fox Sparrow,Fox Sparrow,spp
3A7B1F59DE8F597D,Fox Sparrow,spp
ELEMENT_GLOBAL.2.101670,Franklin's Gull,spp
Leucophaeus pipixcan,Franklin's Gull,spp
Leucophaeus pipixcan,Franklin's Gull,spp
Franklin's Gull,Franklin's Gull,spp
57C93A74CBC9863F,Franklin's Gull,spp
ELEMENT_GLOBAL.2.103297,Fulvous Whistling-Duck,spp
Dendrocygna bicolor,Fulvous Whistling-Duck,spp
Dendrocygna bicolor,Fulvous Whistling-Duck,spp
Fulvous Whistling-Duck,Fulvous Whistling-Duck,spp
9A60617EE376ABE9,Fulvous Whistling-Duck,spp
ELEMENT_GLOBAL.2.101166,Gadwall,spp
Mareca strepera,Gadwall,spp
Mareca strepera,Gadwall,spp
Gadwall,Gadwall,spp
C235A4D712BB8855,Gadwall,spp
ELEMENT_GLOBAL.2.101458,Glaucous Gull,spp
Larus hyperboreus,Glaucous Gull,spp
Larus hyperboreus,Glaucous Gull,spp
Glaucous Gull,Glaucous Gull,spp
A59FA446D6B40057,Glaucous Gull,spp
ELEMENT_GLOBAL.2.101242,Glossy Ibis,spp
Plegadis falcinellus,Glossy Ibis,spp
Plegadis falcinellus,Glossy Ibis,spp
Glossy Ibis,Glossy Ibis,spp
D4540F880A3EC3BB,Glossy Ibis,spp
Aquila chrysaetos,Golden Eagle,spp
Aquila chrysaetos,Golden Eagle,spp
Golden Eagle,Golden Eagle,spp
5F8E7CA845BD413F,Golden Eagle,spp
ELEMENT_GLOBAL.2.100997,Golden-crowned Kinglet,spp
Regulus satrapa,Golden-crowned Kinglet,spp
Regulus satrapa,Golden-crowned Kinglet,spp
Golden-crowned Kinglet,Golden-crowned Kinglet,spp
154BCCAE37AE70E9,Golden-crowned Kinglet,spp
Zonotrichia atricapilla,Golden-crowned Sparrow,spp
Zonotrichia atricapilla,Golden-crowned Sparrow,spp
Golden-crowned Sparrow,Golden-crowned Sparrow,spp
BD61BDEC7D0A1633,Golden-crowned Sparrow,spp
ELEMENT_GLOBAL.2.102068,Golden-winged Warbler,spp
Vermivora chrysoptera,Golden-winged Warbler,spp
Vermivora chrysoptera,Golden-winged Warbler,spp
Golden-winged Warbler,Golden-winged Warbler,spp
83F326C81E3F2955,Golden-winged Warbler,spp
Grandfather Mountain,Grandfather Mountain,org
ELEMENT_GLOBAL.2.100347,Grasshopper Sparrow,spp
Ammodramus savannarum,Grasshopper Sparrow,spp
Ammodramus savannarum,Grasshopper Sparrow,spp
Grasshopper Sparrow,Grasshopper Sparrow,spp
5BFFE091FBA75EA2,Grasshopper Sparrow,spp
ELEMENT_GLOBAL.2.104829,Gray Catbird,spp
Dumetella carolinensis,Gray Catbird,spp
Dumetella carolinensis,Gray Catbird,spp
Gray Catbird,Gray Catbird,spp
95B77F083F49835F,Gray Catbird,spp
Empidonax wrightii,Gray Flycatcher,spp
Empidonax wrightii,Gray Flycatcher,spp
Gray Flycatcher,Gray Flycatcher,spp
DACF7A98F23C4123,Gray Flycatcher,spp
ELEMENT_GLOBAL.2.106125,Gray Kingbird,spp
Tyrannus dominicensis,Gray Kingbird,spp
Tyrannus dominicensis,Gray Kingbird,spp
Gray Kingbird,Gray Kingbird,spp
F5388B5EF2C0D783,Gray Kingbird,spp
ELEMENT_GLOBAL.2.100959,Gray-cheeked Thrush,spp
Catharus minimus,Gray-cheeked Thrush,spp
Catharus minimus,Gray-cheeked Thrush,spp
Gray-cheeked Thrush,Gray-cheeked Thrush,spp
B904BB227C07317E,Gray-cheeked Thrush,spp
ELEMENT_GLOBAL.2.104344,Great Black-backed Gull,spp
Larus marinus,Great Black-backed Gull,spp
Larus marinus,Great Black-backed Gull,spp
Great Black-backed Gull,Great Black-backed Gull,spp
E826E9F3FBAED223,Great Black-backed Gull,spp
ELEMENT_GLOBAL.2.100203,Great Blue Heron,spp
Ardea herodias,Great Blue Heron,spp
Ardea herodias,Great Blue Heron,spp
Great Blue Heron,Great Blue Heron,spp
93694BB5492F7012,Great Blue Heron,spp
ELEMENT_GLOBAL.2.102054,Great Cormorant,spp
Phalacrocorax carbo,Great Cormorant,spp
Phalacrocorax carbo,Great Cormorant,spp
Great Cormorant,Great Cormorant,spp
3DF5C587CE3CF1E1,Great Cormorant,spp
ELEMENT_GLOBAL.2.105609,Great Crested Flycatcher,spp
Myiarchus crinitus,Great Crested Flycatcher,spp
Myiarchus crinitus,Great Crested Flycatcher,spp
Great Crested Flycatcher,Great Crested Flycatcher,spp
8D6D5F2BEA07A0CF,Great Crested Flycatcher,spp
ELEMENT_GLOBAL.2.103493,Great Egret,spp
Ardea alba,Great Egret,spp
Ardea alba,Great Egret,spp
Great Egret,Great Egret,spp
49D9148A171E7F2E,Great Egret,spp
ELEMENT_GLOBAL.2.770876,Great Horned Owl,spp
Bubo virginianus,Great Horned Owl,spp
Bubo virginianus,Great Horned Owl,spp
Great Horned Owl,Great Horned Owl,spp
34D6EE78CA7AE050,Great Horned Owl,spp
ELEMENT_GLOBAL.2.100813,Great Shearwater,spp
Ardenna gravis,Great Shearwater,spp
Ardenna gravis,Great Shearwater,spp
Great Shearwater,Great Shearwater,spp
8B879DFA2AFB1481,Great Shearwater,spp
ELEMENT_GLOBAL.2.962181,Great Skua,spp
Stercorarius skua,Great Skua,spp
Stercorarius skua,Great Skua,spp
Great Skua,Great Skua,spp
BB041C6E5DB73FC7,Great Skua,spp
ELEMENT_GLOBAL.2.102413,Greater Scaup,spp
Aythya marila,Greater Scaup,spp
Aythya marila,Greater Scaup,spp
Greater Scaup,Greater Scaup,spp
25C94A8F90A829F7,Greater Scaup,spp
Greater Uwharrie Conservation Partnership,Greater Uwharrie Conservation Partnership,org
GUCP,Greater Uwharrie Conservation Partnership,org
ELEMENT_GLOBAL.2.104263,Greater White-fronted Goose,spp
Anser albifrons,Greater White-fronted Goose,spp
Anser albifrons,Greater White-fronted Goose,spp
Greater White-fronted Goose,Greater White-fronted Goose,spp
466E9077BE220EBE,Greater White-fronted Goose,spp
ELEMENT_GLOBAL.2.105760,Greater Yellowlegs,spp
Tringa melanoleuca,Greater Yellowlegs,spp
Tringa melanoleuca,Greater Yellowlegs,spp
Greater Yellowlegs,Greater Yellowlegs,spp
6EB81C98A8FD9CE6,Greater Yellowlegs,spp
ELEMENT_GLOBAL.2.102189,Green Heron,spp
Butorides virescens,Green Heron,spp
Butorides virescens,Green Heron,spp
Green Heron,Green Heron,spp
86D45B8F04F61F0E,Green Heron,spp
Anthracothorax prevostii,Green-breasted Mango,spp
Green-breasted Mango,Green-breasted Mango,spp
E266FD04521300C3,Green-breasted Mango,spp
Pipilo chlorurus,Green-tailed Towhee,spp
Pipilo chlorurus,Green-tailed Towhee,spp
Green-tailed Towhee,Green-tailed Towhee,spp
45D829B3C45C2BC5,Green-tailed Towhee,spp
ELEMENT_GLOBAL.2.104242,Green-winged Teal,spp
Anas crecca,Green-winged Teal,spp
Anas crecca,Green-winged Teal,spp
Green-winged Teal,Green-winged Teal,spp
BC6C3CCE5C1B5D9B,Green-winged Teal,spp
ELEMENT_GLOBAL.2.102273,Gull-billed Tern,spp
Gelochelidon nilotica,Gull-billed Tern,spp
Gelochelidon nilotica,Gull-billed Tern,spp
Gull-billed Tern,Gull-billed Tern,spp
441918B5AE353C3B,Gull-billed Tern,spp
ELEMENT_GLOBAL.2.104568,Hairy Woodpecker,spp
Dryobates villosus,Hairy Woodpecker,spp
Dryobates villosus,Hairy Woodpecker,spp
Hairy Woodpecker,Hairy Woodpecker,spp
9D06AF89CDBCF27B,Hairy Woodpecker,spp
ELEMENT_GLOBAL.2.104856,Harlequin Duck,spp
Histrionicus histrionicus,Harlequin Duck,spp
Histrionicus histrionicus,Harlequin Duck,spp
Harlequin Duck,Harlequin Duck,spp
BCBD2EAECA774B19,Harlequin Duck,spp
Zonotrichia querula,Harris's Sparrow,spp
Zonotrichia querula,Harris's Sparrow,spp
Harris's Sparrow,Harris's Sparrow,spp
DDAF0666B28C1354,Harris's Sparrow,spp
ELEMENT_GLOBAL.2.100620,Henslow's Sparrow,spp
Centronyx henslowii,Henslow's Sparrow,spp
Centronyx henslowii,Henslow's Sparrow,spp
Henslow's Sparrow,Henslow's Sparrow,spp
CDA2F827192CF0B3,Henslow's Sparrow,spp
ELEMENT_GLOBAL.2.100340,Hermit Thrush,spp
Catharus guttatus,Hermit Thrush,spp
Catharus guttatus,Hermit Thrush,spp
Hermit Thrush,Hermit Thrush,spp
B01E8BD42E1785F2,Hermit Thrush,spp
ELEMENT_GLOBAL.2.105038,Herring Gull,spp
Larus argentatus,Herring Gull,spp
Larus argentatus,Herring Gull,spp
Herring Gull,Herring Gull,spp
C1DCCE4F8FA197AC,Herring Gull,spp
ELEMENT_GLOBAL.2.104711,Hooded Merganser,spp
Lophodytes cucullatus,Hooded Merganser,spp
Lophodytes cucullatus,Hooded Merganser,spp
Hooded Merganser,Hooded Merganser,spp
60E6081E3DF8CFA4,Hooded Merganser,spp
Icterus cucullatus,Hooded Oriole,spp
Icterus cucullatus,Hooded Oriole,spp
Hooded Oriole,Hooded Oriole,spp
526A36924CDA313C,Hooded Oriole,spp
ELEMENT_GLOBAL.2.105404,Hooded Warbler,spp
Setophaga citrina,Hooded Warbler,spp
Setophaga citrina,Hooded Warbler,spp
Hooded Warbler,Hooded Warbler,spp
15EB30007E1908FD,Hooded Warbler,spp
ELEMENT_GLOBAL.2.101899,Horned Grebe,spp
Podiceps auritus,Horned Grebe,spp
Podiceps auritus,Horned Grebe,spp
Horned Grebe,Horned Grebe,spp
018B316959E84738,Horned Grebe,spp
ELEMENT_GLOBAL.2.105501,Horned Lark,spp
Eremophila alpestris,Horned Lark,spp
Eremophila alpestris,Horned Lark,spp
Horned Lark,Horned Lark,spp
FC0A1D951186B019,Horned Lark,spp
ELEMENT_GLOBAL.2.100731,House Finch,spp
Haemorhous mexicanus,House Finch,spp
Haemorhous mexicanus,House Finch,spp
House Finch,House Finch,spp
89431E9F1CEDC995,House Finch,spp
ELEMENT_GLOBAL.2.106216,House Sparrow,spp
Passer domesticus,House Sparrow,spp
Passer domesticus,House Sparrow,spp
House Sparrow,House Sparrow,spp
6D3BD126D55F8B69,House Sparrow,spp
ELEMENT_GLOBAL.2.902043,House Wren,spp
Troglodytes aedon,House Wren,spp
Troglodytes aedon,House Wren,spp
House Wren,House Wren,spp
A381417FEA4045E3,House Wren,spp
ELEMENT_GLOBAL.2.103336,Hudsonian Godwit,spp
Limosa haemastica,Hudsonian Godwit,spp
Limosa haemastica,Hudsonian Godwit,spp
Hudsonian Godwit,Hudsonian Godwit,spp
930139644308C7B7,Hudsonian Godwit,spp
ELEMENT_GLOBAL.2.1009435,Iceland Gull,spp
Larus glaucoides,Iceland Gull,spp
Larus glaucoides,Iceland Gull,spp
Iceland Gull,Iceland Gull,spp
FB4FCB27CC5566D1,Iceland Gull,spp
ELEMENT_GLOBAL.2.103315,Indigo Bunting,spp
Passerina cyanea,Indigo Bunting,spp
Passerina cyanea,Indigo Bunting,spp
Indigo Bunting,Indigo Bunting,spp
043F337AA25E7D97,Indigo Bunting,spp
IBP,Institute for Bird Populations,org
Institute for Bird Populations,Institute for Bird Populations,org
ELEMENT_GLOBAL.2.102822,Ivory-billed Woodpecker,spp
Campephilus principalis,Ivory-billed Woodpecker,spp
Campephilus principalis,Ivory-billed Woodpecker,spp
Ivory-billed Woodpecker,Ivory-billed Woodpecker,spp
86E7578ADB6314A4,Ivory-billed Woodpecker,spp
ELEMENT_GLOBAL.2.103148,Kentucky Warbler,spp
Geothlypis formosa,Kentucky Warbler,spp
Geothlypis formosa,Kentucky Warbler,spp
Kentucky Warbler,Kentucky Warbler,spp
8C105C3C647C7E36,Kentucky Warbler,spp
ELEMENT_GLOBAL.2.101693,Killdeer,spp
Charadrius vociferus,Killdeer,spp
Charadrius vociferus,Killdeer,spp
Killdeer,Killdeer,spp
BCF9A19AFE372627,Killdeer,spp
ELEMENT_GLOBAL.2.100137,King Eider,spp
Somateria spectabilis,King Eider,spp
Somateria spectabilis,King Eider,spp
King Eider,King Eider,spp
F3D7491432CC59E7,King Eider,spp
ELEMENT_GLOBAL.2.962122,King Rail,spp
Rallus elegans,King Rail,spp
Rallus elegans,King Rail,spp
King Rail,King Rail,spp
0BB84341D8AE9B6E,King Rail,spp
Setophaga kirtlandii,Kirtland's Warbler,spp
Setophaga kirtlandii,Kirtland's Warbler,spp
Kirtland's Warbler,Kirtland's Warbler,spp
B9A2B7CCE43D3D57,Kirtland's Warbler,spp
ELEMENT_GLOBAL.2.100665,Lapland Longspur,spp
Calcarius lapponicus,Lapland Longspur,spp
Calcarius lapponicus,Lapland Longspur,spp
Lapland Longspur,Lapland Longspur,spp
3534E4CEBACCB166,Lapland Longspur,spp
Calamospiza melanocorys,Lark Bunting,spp
Calamospiza melanocorys,Lark Bunting,spp
Lark Bunting,Lark Bunting,spp
938C5572D8E74782,Lark Bunting,spp
ELEMENT_GLOBAL.2.102370,Lark Sparrow,spp
Chondestes grammacus,Lark Sparrow,spp
Chondestes grammacus,Lark Sparrow,spp
Lark Sparrow,Lark Sparrow,spp
78509A5D6015C509,Lark Sparrow,spp
ELEMENT_GLOBAL.2.101747,Laughing Gull,spp
Leucophaeus atricilla,Laughing Gull,spp
Leucophaeus atricilla,Laughing Gull,spp
Laughing Gull,Laughing Gull,spp
6CDC3C9C8B50EA71,Laughing Gull,spp
Passerina amoena,Lazuli Bunting,spp
Passerina amoena,Lazuli Bunting,spp
Lazuli Bunting,Lazuli Bunting,spp
9F67F3AFBF17ECFF,Lazuli Bunting,spp
Oceanodroma leucorhoa,Leach's Storm-Petrel,spp
Hydrobates leucorhous,Leach's Storm-Petrel,spp
Leach's Storm-Petrel,Leach's Storm-Petrel,spp
C5FB15C6D112FE91,Leach's Storm-Petrel,spp
ELEMENT_GLOBAL.2.106202,Least Bittern,spp
Ixobrychus exilis,Least Bittern,spp
Ixobrychus exilis,Least Bittern,spp
Least Bittern,Least Bittern,spp
0B361ED83051417E,Least Bittern,spp
ELEMENT_GLOBAL.2.105566,Least Flycatcher,spp
Empidonax minimus,Least Flycatcher,spp
Empidonax minimus,Least Flycatcher,spp
Least Flycatcher,Least Flycatcher,spp
F5837054F30BA49D,Least Flycatcher,spp
ELEMENT_GLOBAL.2.102217,Least Sandpiper,spp
Calidris minutilla,Least Sandpiper,spp
Calidris minutilla,Least Sandpiper,spp
Least Sandpiper,Least Sandpiper,spp
A47B0BD448AA34E0,Least Sandpiper,spp
ELEMENT_GLOBAL.2.101508,Least Tern,spp
Sternula antillarum,Least Tern,spp
Sternula antillarum,Least Tern,spp
Least Tern,Least Tern,spp
BE78E765F1DA8123,Least Tern,spp
ELEMENT_GLOBAL.2.100333,LeConte's Sparrow,spp
Ammospiza leconteii,LeConte's Sparrow,spp
Ammospiza leconteii,LeConte's Sparrow,spp
LeConte's Sparrow,LeConte's Sparrow,spp
B656B15D2F2ADF96,LeConte's Sparrow,spp
