search_term,wikipage,type
ELEMENT_GLOBAL.2.105170,Bachman's Sparrow,spp
Peucaea aestivalis,Bachman's Sparrow,spp
Peucaea aestivalis,Bachman's Sparrow,spp
Bachman's Sparrow,Bachman's Sparrow,spp
DAD22BB68CF2206A,Bachman's Sparrow,spp
ELEMENT_GLOBAL.2.106306,Bachman's Warbler,spp
Vermivora bachmanii,Bachman's Warbler,spp
Vermivora bachmanii,Bachman's Warbler,spp
Bachman's Warbler,Bachman's Warbler,spp
207491AE88C23BE8,Bachman's Warbler,spp
ELEMENT_GLOBAL.2.106542,Baird's Sandpiper,spp
Calidris bairdii,Baird's Sandpiper,spp
Calidris bairdii,Baird's Sandpiper,spp
Baird's Sandpiper,Baird's Sandpiper,spp
1F1AD154DAE2E070,Baird's Sandpiper,spp
ELEMENT_GLOBAL.2.104470,Bald Eagle,spp
Haliaeetus leucocephalus,Bald Eagle,spp
Haliaeetus leucocephalus,Bald Eagle,spp
Bald Eagle,Bald Eagle,spp
FED3756C12CF67FA,Bald Eagle,spp
ELEMENT_GLOBAL.2.100447,Baltimore Oriole,spp
Icterus galbula,Baltimore Oriole,spp
Icterus galbula,Baltimore Oriole,spp
Baltimore Oriole,Baltimore Oriole,spp
5110842FA06DD11C,Baltimore Oriole,spp
Oceanodroma castro,Band-rumped Storm-Petrel,spp
Hydrobates castro,Band-rumped Storm-Petrel,spp
Band-rumped Storm-Petrel,Band-rumped Storm-Petrel,spp
D3FAE385D584B014,Band-rumped Storm-Petrel,spp
Patagioenas fasciata,Band-tailed Pigeon,spp
Patagioenas fasciata,Band-tailed Pigeon,spp
Band-tailed Pigeon,Band-tailed Pigeon,spp
31ACA9981952B4C4,Band-tailed Pigeon,spp
ELEMENT_GLOBAL.2.101769,Bank Swallow,spp
Riparia riparia,Bank Swallow,spp
Riparia riparia,Bank Swallow,spp
Bank Swallow,Bank Swallow,spp
755E2AD4ECF114FB,Bank Swallow,spp
ELEMENT_GLOBAL.2.100734,Barn Owl,spp
Tyto alba,Barn Owl,spp
Tyto alba,Barn Owl,spp
Barn Owl,Barn Owl,spp
A6A7C34B37A68336,Barn Owl,spp
ELEMENT_GLOBAL.2.104225,Barn Swallow,spp
Hirundo rustica,Barn Swallow,spp
Hirundo rustica,Barn Swallow,spp
Barn Swallow,Barn Swallow,spp
58C502EA7AF3E023,Barn Swallow,spp
Branta leucopsis,Barnacle Goose,spp
